实体名称,分类,开放时间,门票政策,联系电话,交通方式,地址,交通配套,陈列内容,历史记录,占地面积,服务,烈士纪念碑高度,铭刻内容,始建时间,翻新时间,活动,安葬人数,展示内容,保护级别,保留内容,距离,性质,建筑类型,标志物,残留内容,发现文物,海拔,体验,保护范围,规定,闭馆情况,安葬时期,纪念塔高度,纪念塔刻字,安葬对象,烈士纪念碑建成时间,烈士纪念碑内容,配套,无名烈士墓安葬人数,管理处电话,建成时间,出生时间,逝世时间,籍贯,入党时间,逝世地点,原名,牺牲年龄,荣誉,战斗状态,逝世原因,工作单位,经历事件年龄,罢工经历,被捕表现,表彰单位,入狱原因,获释时间,贡献,发生时间,规模,参与人数,持续时间,结果,伤亡人数,建立时间,坚持时间,时间,成立时间,成立地点,成立时会员数,召开时间,影响,反响,形式,材质,特征,类型,状态,保存方式,价值,长度,属性,尺寸,枪管刻字,封面颜色,页数,最后记录时间,外壳材质,镜片状态,组成,布料颜色,文字,制作方式,签发时间,帽徽,颜色,用途,直径,发掘时间,推测属性,陈列于,全程距离,路段车程,建议时长,适合人群,建议行程,行程安排,车程,主题,适合儿童年龄,预约要求,参观方式,适合季节,轮渡时长,景点分布,配套体验
大连烈士陵园,红色场馆类,7:30-17:00（夏季）、8:00-16:30（冬季）,免费,,乘坐地铁 1 号线至华南广场站（换乘公交 9 路至烈士陵园站）,大连市甘井子区中华路 20 号,,,,8 万平方米,,,,,,,,,,,,,,,,,,,,,无闭馆日,1946 年至 1950 年牺牲烈士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺烈士陵园,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 米,正面 “为人民解放事业而牺牲的烈士永垂不朽”,二战时期牺牲苏联军人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普兰店烈士陵园,红色场馆类,7:30-17:00,免费向公众开放,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985 年,碑座刻有烈士事迹简介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庄河烈士陵园,红色场馆类,8:00-11:30、13:00-16:30（每周一闭馆）,免费,0411-CCCCCCC,乘坐庄河公交 5 路至终点站（步行 500 米）,庄河市昌盛街道将军湖路 1 号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,免费停车场（可容纳 50 辆汽车）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦房店烈士陵园,红色场馆类,,,,,,,,,,可预约团体祭扫,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 位（身份未查明）,0411-ZZZZZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦房店革命纪念馆,红色场馆类,8:30-11:30、14:00-17:00（夏季），冬季下午提前半小时闭馆,免费（需持身份证登记）,0411-85508110,,瓦房店市五四路 38 号,,,,,可预约中文 / 英文讲解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连高新园区烈士陵园,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发区建设时期牺牲烈士,,,,,,2010 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关向应,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902 年,1946 年,大连金州,1924 年,延安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金伯阳,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907 年,1933 年,大连旅顺,1925 年,,金永绪,26 岁,革命烈士（追认）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王永庆,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903 年,1938 年,大连庄河,1936 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋学范,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918 年,1947 年,大连普兰店,1939 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
于庆阳,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944 年,1969 年,大连新金县（今普兰店）,,,,,,身负重伤仍坚持战斗至牺牲（1969 年珍宝岛战斗）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵桂兰,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926 年,2020 年,大连,1945 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏长魁,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906 年,1938 年,大连金州,1925 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傅景阳,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 年,1928 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈为人,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899 年,1937 年,,1921 年,上海,,,,,长期积劳成疾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姜培禄,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911 年,1940 年,大连旅顺,1938 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张振山,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大连沙河口工厂（1926 年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李淑珍,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 岁（1894 年旅顺万忠墓事件）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王福顺,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘长胜,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,被打伤（1925 年工人罢工期间）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵玉田,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,坚贞不屈（1938 年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙桂兰,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 年 “支前英雄”,,,,,,,辽南军区（1948 年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周明远,红色人物类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,参与抗日活动（1936 年）,1945 年,留下监狱酷刑和反抗故事口述史料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连 “四二七” 大罢工,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926 年 4 月 27 日,大连历史上最大工人罢工,3 万余人,101 天,迫使资本家让步,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺大屠杀,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894 年 11 月 21 日,,,4 天 3 夜,,约 2 万平民遇难、仅 36 人幸存（掩埋尸体）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日俄战争金州南山战役,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904 年,,,,,约 4000 人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏联红军进驻旅顺,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 年 8 月 22 日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中共旅大地委成立,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 年旅大解放后,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连地区抗日救国会被镇压,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 年,,,,100 多名会员被捕、部分被杀害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庄河仙人洞抗日根据地,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935 年,至 1938 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普兰店攻坚战,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普兰店解放,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947 年 12 月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连中华工学会,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923 年 12 月 2 日,沙河口,300 余人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连湾抗日武装袭击,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连首届工人代表大会,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946 年,推动工人运动发展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连工人代表大会决议,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,得到工人广泛支持,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连反俄运动,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905 年,,,,,,,,,,,,,,,罢市、游行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连反俄运动被镇压,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 多名参与者被捕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺监狱越狱事件,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连庆祝建国游行,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949 年 10 月 1 日,万人参与,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金伯阳追悼会,历史事件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数千人,,,,,,,,,,1928 年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关向应的钢笔,红色展品类,,,,,,,,,,,,,,,,,,国家三级文物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黑色金属,笔尖刻有俄文字母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“四二七” 大罢工传单,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,油印品,纸张泛黄,恒温展柜,重要历史见证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺大屠杀日军军刀,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,刀身刻有日军番号,,,,,约 1 米,当时日军步兵制式武器（经鉴定）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺日俄监狱牢房铁门,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,铁制,上面有囚犯刻的 “反满抗日” 字样,,,,,,,高 2 米、宽 0.8 米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抗联步枪,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,枪身有多处磨损痕迹,,,,,,,,生产年份 “1932”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋学范的日记本,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蓝色,32 页,1947 年 6 月 13 日（牺牲前 1 天）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏联红军望远镜,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,镜身刻有 “CCCP”（苏联缩写）标志,,,,,,,,,,,,铜制,完好,,,,,,,,,,,,,,,,,,,,,,,,,,,
普兰店攻坚战手榴弹,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,弹体刻有 “1946” 生产年份,木柄式,未爆炸过,防爆展柜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵桂兰的工具,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,铁制,有明显磨损痕迹,,,,见证赵桂兰抗日活动,,,,,,,,,,钳子、扳手,,,,,,,,,,,,,,,,,,,,,,,,,,
抗日旗帜,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,棉布,,,边缘有破损,,,,,,,,,,,,,红布,绣有 “还我河山” 四字,1939 年当地妇女手工缝制,,,,,,,,,,,,,,,,,,,,,,,
傅景阳的会员证,红色展品类,,,,,,,,,,,,,,,,,,,,,大连中华工学会第一号会员证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,纸质,贴有傅景阳照片、盖有工学会印章,,,,,,,,,,,,,,,,,,1923 年 12 月,,,,,,,,,,,,,,,,,,,,,,
苏联红军军帽,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呢子,帽檐有磨损,,,,,,,,,,,,,,,,,,,红色五角星,蓝色,,,,,,,,,,,,,,,,,,,,
抗联电台,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手摇式发报机,,,,,,,,,,,黑色金属,,,,,,,,,仅用于展示（现仍能正常工作）,,,,,,,,,,,,,,,,,,,
日俄战争炮弹壳,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,锈迹斑斑,,,,,,,,,,,,,,,,,,,,约 10 厘米,2005 年,俄军使用的榴弹炮弹壳,,,,,,,,,,,,,,,,
1949 年大连庆祝建国游行横幅,红色展品类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大连博物馆 “近代大连” 展厅,,,,,,,,,,,,,,,
大连红色一日游路线,旅游服务类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,约 50 公里,关向应故居纪念馆至中华工学会旧址约 40 分钟,,,,,,,,,,,,,
旅顺红色旅游路线,旅游服务类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各景点间约 15 分钟,半天,,,,,,,,,,,,
金州红色旅游路线,旅游服务类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,历史爱好者,上午参观烈士陵园和故居，下午前往南山战役遗址（登顶俯瞰金州城区）,,,,,,,,,,
庄河红色二日游路线,旅游服务类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一天参观烈士陵园和仙人洞遗址，第二天返程,,,,,,,,,
